epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,141.795,1.4055,1.09387,1.15485,0.93831,0.6924,0.77287,0.42575,1.52522,1.02488,1.191,0.000660045,0.000660045,0.000660045
43,144.748,1.30597,1.01617,1.09992,0.93599,0.69793,0.74931,0.41845,1.52277,1.02105,1.19476,0.000649046,0.000649046,0.000649046
44,147.674,1.3361,1.0221,1.096,0.94356,0.67955,0.73404,0.41722,1.55609,1.02761,1.21121,0.000638047,0.000638047,0.000638047
45,151.895,1.28527,0.93331,1.08338,0.90447,0.66182,0.73505,0.41914,1.52914,1.04731,1.21628,0.000627048,0.000627048,0.000627048
46,154.843,1.34199,1.03563,1.11543,0.92626,0.67495,0.74724,0.43925,1.56207,1.01395,1.20939,0.000616049,0.000616049,0.000616049
47,157.861,1.29321,0.93366,1.07738,0.89118,0.71911,0.77219,0.4485,1.5129,1.00566,1.19309,0.000605051,0.000605051,0.000605051
48,160.888,1.25649,0.98363,1.07457,0.81599,0.72703,0.7765,0.44932,1.59381,1.04604,1.20916,0.000594052,0.000594052,0.000594052
49,165.121,1.27209,0.96362,1.08074,0.84187,0.75071,0.77861,0.46943,1.49822,0.97574,1.18163,0.000583053,0.000583053,0.000583053
50,168.18,1.28959,0.98285,1.09084,0.73327,0.75493,0.76691,0.44303,1.48777,0.9305,1.15678,0.000572054,0.000572054,0.000572054
51,171.027,1.21262,0.93717,1.04321,0.91715,0.69649,0.763,0.43485,1.54479,0.96819,1.18187,0.000561055,0.000561055,0.000561055
52,174.041,1.22666,0.89063,1.05157,0.94377,0.71215,0.75213,0.44743,1.47144,0.97216,1.17874,0.000550056,0.000550056,0.000550056
53,178.019,1.27614,0.95984,1.08657,0.95448,0.69879,0.74406,0.45768,1.51117,0.99549,1.21335,0.000539057,0.000539057,0.000539057
54,181.182,1.24151,0.91486,1.06765,0.94492,0.65773,0.74529,0.4527,1.45522,0.96598,1.188,0.000528058,0.000528058,0.000528058
55,184.101,1.23182,0.89945,1.07524,0.94884,0.69103,0.83101,0.46361,1.47646,0.95581,1.19387,0.000517059,0.000517059,0.000517059
56,187.011,1.24297,0.9215,1.06586,0.86445,0.73208,0.77767,0.43609,1.54557,0.94873,1.2109,0.00050606,0.00050606,0.00050606
57,190.79,1.27451,0.95658,1.07952,0.72646,0.68778,0.75555,0.43084,1.5202,0.94344,1.1943,0.000495062,0.000495062,0.000495062
58,194.273,1.20307,0.92622,1.06883,0.94433,0.69716,0.74956,0.42969,1.52724,0.94853,1.18821,0.000484063,0.000484063,0.000484063
59,197.279,1.19115,0.86902,1.05119,0.90333,0.69906,0.7463,0.4561,1.44686,0.91356,1.16178,0.000473064,0.000473064,0.000473064
60,200.211,1.16434,0.84166,1.04676,0.92667,0.70845,0.75025,0.45423,1.47013,0.93638,1.18129,0.000462065,0.000462065,0.000462065
61,203.709,1.14912,0.84654,1.02653,0.75516,0.75433,0.77942,0.45536,1.46896,0.92275,1.17367,0.000451066,0.000451066,0.000451066
62,207.225,1.19866,0.89647,1.04549,0.94513,0.71519,0.76006,0.43684,1.46457,0.89289,1.17129,0.000440067,0.000440067,0.000440067
63,210.153,1.13539,0.82766,1.02237,0.93354,0.71054,0.74866,0.43402,1.47832,0.91207,1.18084,0.000429068,0.000429068,0.000429068
64,213.173,1.19595,0.87251,1.06387,0.74724,0.80783,0.79099,0.46712,1.39833,0.89055,1.15065,0.000418069,0.000418069,0.000418069
65,216.374,1.19441,0.88576,1.05412,0.83246,0.76565,0.8155,0.50626,1.41019,0.87401,1.14771,0.00040707,0.00040707,0.00040707
66,220.369,1.16239,0.84167,1.02851,0.90266,0.75411,0.81003,0.47232,1.48355,0.89268,1.18485,0.000396071,0.000396071,0.000396071
67,223.157,1.19149,0.89349,1.05298,0.8161,0.70633,0.79972,0.47084,1.46965,0.88229,1.17349,0.000385073,0.000385073,0.000385073
68,226.067,1.14533,0.8802,1.02611,0.92458,0.73413,0.81839,0.48536,1.42662,0.85094,1.15946,0.000374074,0.000374074,0.000374074
69,228.974,1.13711,0.87602,1.03281,0.87112,0.75839,0.82383,0.48149,1.40815,0.85668,1.14576,0.000363075,0.000363075,0.000363075
70,233.177,1.14409,0.86686,1.04163,0.93674,0.6746,0.77109,0.45881,1.40058,0.873,1.14266,0.000352076,0.000352076,0.000352076
71,236.089,1.116,0.78923,1.01273,0.66815,0.74545,0.78225,0.46657,1.38031,0.86535,1.13826,0.000341077,0.000341077,0.000341077
72,238.973,1.10072,0.81304,1.01823,0.78655,0.7323,0.78148,0.4699,1.39966,0.84571,1.14287,0.000330078,0.000330078,0.000330078
73,241.826,1.16522,0.84113,1.0191,0.80955,0.72555,0.7952,0.48362,1.40159,0.81471,1.15342,0.000319079,0.000319079,0.000319079
74,246.08,1.05359,0.78542,0.98674,0.87855,0.7411,0.80288,0.47775,1.36342,0.80128,1.13453,0.00030808,0.00030808,0.00030808
